# Prompt 3 audit of print() calls in engine/, tools/, Run_*.py. Total=90. keep=65, info=11, warning=11, error=3, review=0. Rows follow one per print() occurrence. Regenerate with: python tools/_build_print_audit.py
"file","line","category","current_code","proposed_replacement","notes"
"engine/plot_runtime.py","640","error","print(f""  Available: {[r['name'] for r in config.runs]}"")","log.error(""  Available: %s"", [r['name'] for r in config.runs])","Follows a log.error(No runs matched) and precedes SystemExit(1). Keep grouped with the fatal error."
"engine/plot_runtime.py","644","error","print(""\n[ERROR] Configuration validation failed:"")","log.error(""Configuration validation failed:"")","Explicit [ERROR] prefix; drop prefix (logger adds level)."
"engine/plot_runtime.py","646","error","print(f""  X  {issue}"")","log.error(""  X  %s"", issue)","Iterates validation issues under the [ERROR] header."
"engine/plot_runtime.py","652","warning","print(line)","log.warning(""%s"", line)","Iterates orphan-warning lines from validate_export_map() (advisory, non-fatal)."
"engine/plot_runtime.py","653","warning","print()","","Trailing blank line after warnings loop; drop entirely on migration (do not emit blank log records)."
"engine/plot_runtime.py","717","keep","print(f""\nFull report: {report_path}"")","","CLI --check-only terminal output; follows print_quality_summary() which is also keep."
"engine/plot_runtime.py","782","keep","print(""\n(No runs loaded.)\n"")","","Inside _print_run_channels() (CLI --list-channels branch)."
"engine/plot_runtime.py","786","keep","print(""\nAvailable channels"")","","_print_run_channels() header."
"engine/plot_runtime.py","787","keep","print(""-"" * 50)","","_print_run_channels() separator."
"engine/plot_runtime.py","788","keep","print(f""\n  COMMON to all {len(per_run)} run(s) — {len(common)} channel(s):"")","","_print_run_channels() common-channel header."
"engine/plot_runtime.py","790","keep","print(f""    {ch}"")","","_print_run_channels() common-channel list."
"engine/plot_runtime.py","794","keep","print(f""\n  ONLY in '{name}' — {len(extras)} channel(s):"")","","_print_run_channels() per-run extras header."
"engine/plot_runtime.py","796","keep","print(f""    {ch}"")","","_print_run_channels() per-run extras list."
"engine/plot_runtime.py","797","keep","print()","","_print_run_channels() trailing blank."
"engine/plot_runtime.py","815","warning","print(""\n[WARN] Plot definitions reference channels that exist in no loaded run:"")","log.warning(""Plot definitions reference channels that exist in no loaded run:"")","Explicit [WARN] prefix inside _enforce_channel_typo_check()."
"engine/plot_runtime.py","822","warning","print(f""  -  '{ch}'{hint}"")","log.warning(""  -  '%s'%s"", ch, hint)","Iterates bogus channels under the [WARN] header."
"engine/plot_runtime.py","823","warning","print(""\nAffected plots will render blank (or be skipped) — continuing."")","log.warning(""Affected plots will render blank (or be skipped) — continuing."")","Trailing advisory after typo warnings."
"engine/plot_runtime.py","824","warning","print(""Run with --list-channels to see all available channel names.\n"")","log.warning(""Run with --list-channels to see all available channel names."")","Trailing hint after typo warnings; drop \n (logger handles line breaks)."
"engine/plot_runtime.py","830","keep","print(""\nConfigured Plots:"")","","_print_plot_list() header (CLI --list-plots branch)."
"engine/plot_runtime.py","831","keep","print(""-"" * 50)","","_print_plot_list() separator."
"engine/plot_runtime.py","837","keep","print(f""\n  {label.upper()} ({len(group)}):"")","","_print_plot_list() group header."
"engine/plot_runtime.py","847","keep","print(f""    *  {name}  [{shown}{more}]"")","","_print_plot_list() plot entry with referenced channels."
"engine/plot_runtime.py","849","keep","print(f""    *  {name}"")","","_print_plot_list() plot entry without refs."
